Sentiment,tweet
0,now just kind let down
1,crash obviously still gonna study history later days terms feeling better now
1,tea just plain good white green black plant know
0,last night wish leaving want stay here pg meet just
0,maria lately missing posts forum
0,school
1,yeah just county live license married coast
0,not funny sean made comment include
1,name ashley
0,miss vermont
0,wish bought miss candle apartment sweet
0,work
0,well know not maybe years
1,uploaded pretty pretty decent pic
1,men nice attraction
1,reading angels trying finish can watch movie
0,bit
0,hate feeling
0,history projects
0,yeah like pink lol im right now
1,like icon eyes awesome
1,stick thats gonna kill emily
0,working comp fuck sorry down talk here want
0,ah ok see da claims acceptable
1,good afternoon nice quote agree
1,lol put eye back
0,ryan
1,im sure just went told person lol
0,like taste blood seconds
1,glad just ate looks good
0,locked house baby sister inside break door
0,fine
0,iran jokes funny
0,ready home watch house just swimming baby moved today wonderful family
0,poor check trailer apple com looks like interesting movie watch
1,thanks follow look forward following back
1,baking staying tonight pittsburgh am see
0,pens parade today can bc damn chemistry kill
1,hey work cn tell following
1,can decide
1,hi baby wearing
1,flip day
1,like spectacular crash
1,time session shower excited
1,campaign cr aka joe nominated win best kiss
1,yeah watched game felt game
0,hurt thin awful em working talk just em taken
1,absolutely agree just love
1,new blog post using school postcards world receive back
1,visa process saudi week not sure am going fingers
1,thanks
1,making play term
0,chicken sandwich side rabbit asked
0,literally makes sick people like world just don understand
0,not looking forward week maybe ll depth later not
0,sleep time essence
1,bless heart good
1,geography exam today turned well wednesday will english exam nervous
0,shit wear
1,welcome
1,high expectations
1,flower cool just expect lol thanks locator link ice cream cookies cream
0,work can check ya right now love
0,mind bird close hey winning derby
0,mom just gave card happy st ha
1,late amazing bloody mary bar yes
0,know feels sorry love feel better
0,aw not
1,think saturday food am not sure guess start
0,need work summer homework due friday ve don think
1,tonight starting
0,now sleep hours
1,course xxx
0,pee side road not fun
1,flip flip
0,yeah cd fm disappointed beatles street
1,talk
0,studying ancient greek put words wrong order
0,arrived losing vision right wanted drive home tips treatment
1,sir
1,wanting see new video live live mitchell ha
1,am looking ruby programming thanks tampa day ruby past weekend
0,hell yeah missed train
0,net pc allow install new
0,special hair don know wear
1,wish red privilege flying
1,not only know lol
1,can
0,want wearing clothes brazil dont
0,ghost last night believe jim died maybe not dead twist yn
1,will smile still can believe
0,going bed
0,piece taylor lol
0,hate panic attacks
1,yeah still graduate spring gifts
1,hey just want say think amazing performer
1,thank love difficult nurses understand handle person brain damage feel like
0,miss people living new place fun exciting hate can pack friends bring love guys
0,see don
0,clothes swap tonight right forgot put now texts restore start
1,well long ur safe end night love thats matters
1,pie sounds kind
1,interview tomorrow st louis thursday friday
0,can sleep husband
0,only gs don sorry
1,thank jeremy
1,like deck ll try thanks
0,living life miss saying fail
1,stuck head
1,thinking wayne sad bored
0,missed nbc
0,laughing lol
0,give smile haven days
1,spent day ocean tired hell good tired
1,thunder corn yeah good
0,not gift store delicious giant cookie store don
1,im currently thinking friend excited
1,just room
0,yeah finish home changed im
1,feel good like working making money
1,mean chocolate ice cream like chocolate chip ice cream chocolate need
1,thinking coming sweden
1,thinking headline new video like sounds maybe slightly little sm
1,hope taking pics video little
0,holy crap flash va
1,plans today friday val
0,people confused who person
0,wants fun can hard fun here fun
0,throw sister friends supposed parties feel like shit
1,online marketing mission statement like com
0,need fathers day present wants mall
0,wanted red
0,days thats long want sweet dreams now
1,restaurant
0,dinner drink jake will miss leave nyc not ready back home
1,guess book finished reading
0,just finished lauren book enjoyed
1,going im cold
1,area can check photos address will special price
0,pure terrible can imagine
0,wish here im think being making confused need hero
1,love holly bless diversity julian win
0,finally dropped mall cop video store know video stores ancient news now day late fees
0,ready high school graduation ceremony band performs sad happy day seniors
1,girls
1,great know issue solved hope productive fun hours now
0,last survivor passed away
0,missed good chat tonight
0,now wait june th tool tickets move sale date
0,feel like head gonna
1,fuck yea sleeve
1,show show post link
1,funny day today know day right jokes laugh
0,im being home alone
1,grade mail apple
1,forward book well funny
1,video fly
1,hungry tired great mood
1,new sara video genius not fine saturday
0,gonna self derby day defeat
0,am glad friday just work tired
1,finally mom cook
1,want head
0,dad let mom come want sa not bad take bus
1,just right
0,give baby
0,dr ok extremely like not want hear word says
0,little late feel like degrees
0,forgot stick
1,ve sea liked yea guess party now honor
1,going meeting shortly usual idea going mode
0,day wonder life surely
1,busy day genesis pa great ride now shop work
0,am lazy
0,yes unfortunately government country will let stand
0,hope find soon jr sucks big time cold hope good news
1,just watching good
0,exam gonna tough test can way
0,broken chat na lang
1,good afternoon miss mil li long night lol hope feeling better
1,tigers today grand th year tigers
1,nice
0,apple apparently mean starting download
1,quote day people maybe won remember will remember made feel
0,thats mother tells
1,just home leave grad party
1,trying far good
1,beer forum street team language need korean
1,lol favorites thanks
0,well especially close open next day
1,jessica
0,ve quiet
1,lol thought
1,true
1,features
0,dream couple nights ago died still shit
0,miss times shared impossible miss
0,not horse sight here well not mine least neighbors riding
1,just figured schedule blog publish future finally feel
0,take placement tests today
1,not good time relationship maybe good time young young ve years
0,just found hill song name just don class
1,watching breakfast club great movie
0,thank dat monster doubt dont mean eat shot
0,sure awful video poor girl
0,don think can better fight hard
1,grande
1,im watching am im worth lol great movie
1,new baseball stud earrings
0,sucks hate phones
1,hey checked website
0,panic
0,locked keys house stuck supposed body pump like degrees damn
1,ma ma queen online shopping
1,photos park
0,crash not feeling well text feel better
1,home ready fo next weekend may
0,trick nicholas wearing new glasses told needs wear
1,went rd grade dat dancing seriously want parade dis year
1,interesting just school run
0,leave pork galaxy cookie french home bring fruit
1,seriously only follow recommend ultra cool follow
1,awesome weekend thanks miles bike hope good
0,laura weekend miss
1,reality show pretty
1,begins friday da
0,dollars root canal just
0,can find like eat
1,video promo now takes
1,taking time blogger will speak friday evening
0,stopping wish wonderful weekend cold not sunny california joy
0,thought oops common sense jim live
0,right
0,start time left hours minutes summer
0,sorry letter size hope day lol good deal pc mom late day present
0,am tired ready lay down take girl airport min eyes heavy
0,hey man show actually park grill near bar area will shirts hopefully rain
1,making adjustments pixels
1,want come
1,able upload dm
1,proud game victory
0,pool closed
0,fed bread lunch day ccd sandwich today definitely home food work tomorrow
1,beautiful day bike ride now waiting
1,thanks trying good patient
0,rip ethernet cables wall will route due work
0,way upset leave little imagination
1,am
0,sounds good ur day last sunday th meant old now feel old
0,seriously lol dude hardcore picked teeth
0,sleep
0,gonna miss baby albert hope rest peace now thoughts prayers angel
1,click register away don forget introduce
0,big chance school won opened monday want see fate life
0,change difficult
1,course live manga haven read em best
0,badly just jake gonna miss like crazy
1,driving eating time lol
0,today sick
0,tried numerous times update td reports error
0,happened www com investigated
1,ready nice weather day drinking not student
1,mall
1,looking retail activity thanks
0,still usual ol starting upset
0,can tons video editing guys fun put video photos
1,way house couple fans ps im thinking
1,shirt came
1,dont worry likes
0,internet cable know will
0,fuck missed fight sleeping like baby pm
0,work sad cancer need drink
1,sir abraham fantastic approach thank
1,explain not sure
0,wish safe hard say
0,car take work car round house
1,bad well biology
0,show tom am trying right now reply back mean
0,want im not huge fan still dont match
0,think missed went ice cream back late last night
1,movie date
0,car problems worse transmission
0,man wish updated
0,dad left turkey
1,grew life love name
1,lord rings musical stuck head introducing
1,added now am twice
1,work protecting innocent weak guilty strong
1,awesome love
0,clock traffic worst everyday life wish old location only took min
1,nice wonder who reference
0,shit terrible
0,planning great night tonight bad can come hate
1,beautiful want see day
0,died
1,well wear hat keep warm don heat away body cold
1,busy busy weekend wow just finished cake shoot son nd birthday week fun
0,section come iv
0,don want yo ll take pearl definitely
1,sean sure passes week
1,ha here ha
1,knew hot consider swimming pools can swim big deal
1,love icons
1,think may sleep good night
1,thank
0,just passed border nevada california
1,movie
1,feeling little
0,iran edge system news problems life continues
0,back work tomorrow
0,suck leaving next friday ha
1,im chinese
0,want here studying
1,lotus connections questions let know can answer
1,dude need face cups
0,kim see
1,good time party beth
1,tom guess live beautiful perfect surprised
0,bad like tongue now can see cut cm
1,rock new monday
1,nd
1,nice add story
1,ti lessons finishing movie peace kids bless ya
0,town til night business trip miss
1,nice ending dinner friends kids now bed fantasy snow white
0,thinks going missed belief
1,know awesome
0,sims needs ps
0,went like made stupid suit guy held
1,told fix just waiting apple
1,ok thanks ll add tomorrow lazy open
1,morning ready take dog park say dogs can read
0,broke car
0,hard find court hearing transcript metallica only found pages
0,end want man back wrong
1,turn sound
0,def made run earlier like blocks away
0,will memphis
1,wife bee acting like big ass baby hours ago lol baby
0,boy just told army called iraq thought gonna home good
0,rain mess yard work
0,good day am going bed now nearly am worked night
1,finished nd song day verse new track wait guys hear
0,feet hurt
1,presents can head breakfast club last night
1,great see
1,makes happy
0,everyday night not good
1,now want give boxes boxes documents blood paper cuts
0,ed passed away family friends
0,wanna play sims
1,made evening
1,not bunny going fashion show exciting come london
1,admit away like
0,think sick let just hope only night
0,ver el video sale video not country due copyright restrictions ip
0,not am time miss home
0,start letting take life
1,mine boy today blogging afraid ll loads
0,sam reply
1,happy year
1,totally hate teacher feel pretty fine tomorrow wedding today im going home life good
0,just attacked great fun need find will bedroom
0,just funny bone going down breath pain
0,study quick access revision
0,only radio stations ky
0,song think will hit million views easy
1,confirmation
0,hate nights feel full lonely
0,new profile pic still
0,fake links
1,yeah forgot well don worry now won
0,home holidays friend moving melbourne girls gonna miss not gonna
1,looking photo gallery love pictures
1,good morning just today day duties dedicated
1,kept last night amazing thank
0,well think need night pain hope fabulous night summer
0,making presentation school
1,excited summer not taking sat tom
1,follow
0,sorry hear wish best
1,wear tall hat
0,sources say
1,class still cc last
1,fixed broken
1,reached home th dishes starting soon
0,miss need
0,just drove start
0,last don think human race will
0,sick yesterday treated better today chevy went down virus
1,excited first live wifi battle long time tomorrow
0,bad stay
0,work sad cause gonna rain take
0,slow work can wait see tattoo exhibit
0,saw adam looks
1,finally
0,lol sleep half hour take long hot ass shower
1,lol okay thanks
0,rain rain away
1,love picture guys course stays character wants belt ou
1,jack maybe ll play da bears day
0,tired feeling down still dont know can
1,lol later
0,ice pack neck
1,wow iran tv showing protest
0,stupid english work
0,am stomach
1,reading read amazing enjoying answer happy
0,trying follow lovely lady won follow back
1,sorry hear college hope stuff better
1,like especially cost friend
1,sorry now
0,feel good miss work tomorrow
1,test shelter door still works going changes ordered
1,tired monday school
1,recommend company
0,phone reception internet not alot today
1,gi sounds stupid can not tell pic cos can reply
1,just ordered
0,finally can live msn
1,enjoying sunshine
0,awesome miss chick
1,buy boots yes bought
1,wrong im happy
1,good morning god bless
0,met guys wife sweet husband past away last week
0,breakfast trying take photos keep turning lights
0,ve going office years now guy works watches like trying steal
0,died loved
1,law attraction
1,friends tomorrow rock club
0,don house here
0,stuck horrible jam federal highway
0,app push notification lol
0,wish worked philippines
0,bad week started last week
0,work sucks
0,want take longer scared going
0,don love coming down
0,hey hurt feelings
0,disappointed os being delayed tomorrow
0,feeling down seen lil brother years visit week nw home miss loads
1,day well
1,yeah just week am now writing
1,morning let practice law love today implement everyday lives love receive heaven
0,aw sorry working come home soon can
0,london kent london tomorrow exams
1,am working website wordpress awesome
1,here chat
1,love secret yo
1,dressing code uniform girls religious schools who wear skirts
0,can sleep like
1,best day first day summer lines
1,home ty taking needed
1,cast photo today
1,love fake new moon exclusive now real
1,only way see replies
1,still trying understand help
0,aw good scared gonna
0,pictures tomorrow sorry guys sleep early work early
0,mark seen clear seen manage columns back
0,answer will germany
0,second last day uni weeks holidays exams
1,purchasing seeing big bang theory
0,sucks
1,find cologne watching saw lol affect
0,look ticket
0,wish convention aug
1,will once book
0,henry going home weekend
0,going attempt patient community health feel right head checked
0,hate laptop not working properly
1,find folks
0,tied bottom th
1,love day show lazy en
1,right hate making decisions going lunch today call
0,rest peace ping best
1,just back watching monsters polish cinema proud understanding least third
0,am ready ready lol im hoping good heart let early doubt good morning
0,take absolutely amazing want
1,butt
1,love line girl magazine hopefully will put smile face
1,new updates check website
1,day great day friends cool night
0,weekend tickets strings
1,good give experience girls role model
1,tired walking alone time
0,team feel sad won cry yesterday
0,wants sitting sun today glass looking semi naked boys not sitting work
1,lol just connected awesome
1,church
1,agreed stable good build quality good specs
0,aw sucks
1,la la la comp back
1,just signed lease let moving fun begin
0,sad favorite website longer rip www com
0,emma lee hospital mother
0,feet hurt trying break new pair
0,move neck properly issue sleeping pain
1,ll try not sleep ll watch movie now
1,not bad bit head last ok going set now nice
0,true just don understand
0,head gym reason not exercise may die
1,japanese culture mr harrison awesome
0,mark taken bars hot blonde chicks people office not blonde chicks mark
1,note going night
0,talk longer ll stay
1,post complaint teacher www com tell friends students
0,work wish riding tampa
0,ill
0,alberta bound tomorrow morning
